title,reldate,ageres,cover,plot,trailers,duration,likes,name
Soojidaara,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/soojidaara-et00101391-23-04-2019-06-10-49.jpg,"After being accused of a crime he didn`t commit, a man flees from his hometown and assumes a false identity. He finds refuge in the house of a woman named Padma, and soon finds out that the story of her past is strangely related to his own.",N/A,N/A,2116,Soojidaara
Anushka,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/anushka-et00098933-18-03-2019-12-31-03.jpg,Anushka is a Kannada movie starring Rupesh Shetty and Amrutha in prominent roles. It is a drama directed by Devaraj Kumar.,N/A,N/A,2497,Anushka
Traya,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/traya-et00101636-26-04-2019-03-13-44.jpg,"Traya is a Kannada movie starring Samyukta Hornad, Vijay Chendur, Amogha Rahul and Neethu Bala in prominent roles. It is a drama directed by Krishna Sai with Yathish Mahadev as musician, forming part of the crew.",N/A,N/A,14,Traya
Khanana,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/khanana-et00100807-15-04-2019-10-58-50.jpg,"Khanana is a suspense thriller that follows the story of Ajay, a celebrated architect who loses it all and subsequently sets on a path of vengeance and redemption. Directed by Raadha, the movie stars Aryavardan in the lead role.",N/A,N/A,218,Khanana
Jeem Boom Bhaa,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/jeem-boom-bhaa-et00099230-19-03-2019-10-22-57.jpg,"Jeem Boom Bhaa is a comedy thriller that tells the story of three friends who are troubled by three different problems, and how they solve them all on an eventful new year`s eve. Directed by Rahul Ramachandra, the film stars Askar Ali in the lead role.",N/A,N/A,564,Jeem Boom Bhaa
Lukan Michi,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/lukan-michi-et00096887-19-02-2019-01-08-06.jpg,"When the prospects of getting married to the love of his life is crushed by a long-standing family feud and a grumpy older brother who is unmarried, a youngster sets out with a scheme to solve everybody`s problems. Directed by M. Hundal, Lukan Michi stars Preet Harpal and Mandy Takhar in the lead roles.",N/A,N/A,308,Lukan Michi
15 Lakh Kadon Aauga,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/15-lakh-kadon-aauga-et00101730-29-04-2019-04-58-37.jpg,"15 lakh kadon aauga is a Punjabi movie starring Ravinder Grewal, Pooja Verma and Hobby Dhaliwal in prominent roles. It is a drama directed by Manpreet Brar with Sanjay Sankla as editor, forming part of the crew.",N/A,N/A,24,15 Lakh Kadon Aauga
Konttho,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/kontho-et00078508-26-06-2018-09-53-44.jpg,"Arjun Mallik is a popular RJ who is not only famous but well-loved. His listeners connect with him personally and his voice is music to their ears. However, his perfect life comes to an absolute halt when he is diagnosed with throat cancer. A story of hope, a story of friendship, a story of struggle - Konttho, is about the indomitable human spirit.",N/A,N/A,1119,Konttho
Jalsaghar,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/jalsaghar-et00101729-29-04-2019-04-57-32.jpg,"Jalsaghar is a Gujarati movie starring Jeetendra Thakkar, Yamini Joshi and Nikhil Parmar in prominent roles. It is a drama directed & produced by Atul Patel with Akash Shah as musician, forming part of the crew.",N/A,N/A,14,Jalsaghar
Evadu Thakkuva Kadu,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/evadu-thakkuva-kadu-et00101444-24-04-2019-02-55-37.jpg,Evadu Thakkuva Kadu follows the story of four friends who face the wrath of a powerful man after their actions inadvertently result in a loss of face for him. They must now fight back against him for survival.,N/A,N/A,89,Evadu Thakkuva Kadu
Sindhubaadh,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/sindhubaadh-et00098478-11-03-2019-06-05-38.jpg,"Sindhubaadh is a Tamil movie starring Vijay Sethupathi and Anjali in prominent roles. It is a drama directed by SU Arunkumar with S. N. Rajarajan as producer, forming part of the crew.",N/A,N/A,1926,Sindhubaadh
Chase,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/chase-kannada-et00082117-20-08-2018-04-52-43.jpg,"The lives of a group of individuals troubled by their personal and professional turmoils intersect, leading to unexpected consequences. The film, while addressing several contemporary issues, conveys an uplifting message about not giving up in the face of great adversity.",N/A,N/A,988,Chase
De De Pyaar De,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/de-de-pyaar-de-et00082637-28-08-2018-04-33-56.jpg,"Luv Ranjan's De De Pyaar De is a contemporary rom-com with a quirky take on urban relationships. The film starring Ajay Devgn, Tabu and Rakul Preet Singh is directed by the renowned Hindi film editor, Akiv Ali.",N/A,N/A,10304,De De Pyaar De
A Dogs Journey,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/a-dogs-journey-et00099438-22-03-2019-03-42-02.jpg,"A Dogs Journey is an English movie starring Betty Gilpin, Dennis Quaid and Josh Gad in prominent roles. It is a drama directed by Gail Mancuso with Robert Komatsu as editor, forming part of the crew.",N/A,N/A,2561,A Dogs Journey
The Hustle,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/the-hustle-et00096587-14-02-2019-11-01-14.jpg,Two seasoned con artists with contrasting personalities team up to accomplish a common goal: take down the dirty rotten men who have wronged them!,N/A,N/A,2919,The Hustle
