Acc,Cans,Kilograms,Fat,SNF,Date,Shift
873,1,37,5.1,8.5,2017-09-16,0
3665,4,146,7.8,8.9,2017-09-16,0
865,1,22,6.4,8.8,2017-09-16,0
2959,1,30,7.2,8.5,2017-09-16,0
871,1,34,5.5,8.5,2017-09-16,0
786,1,9,5.3,8.4,2017-09-16,0
893,1,27,6.5,8.3,2017-09-16,0
925,1,30,5.2,8.2,2017-09-16,0
457,1,41,6.4,8.4,2017-09-16,0
3536,1,36,3.1,8.4,2017-09-16,0
949,1,78,5.4,8.4,2017-09-16,0
795,4,128,7.4,8.7,2017-09-16,0
925,1,22,7.7,8.2,2017-09-17,1
893,1,30,6.9,8.5,2017-09-17,1
786,1,10,5.3,8.1,2017-09-17,1
871,1,32,5.9,8.4,2017-09-17,1
457,2,48,3.5,8.2,2017-09-17,1
865,2,46,7.1,8.6,2017-09-17,1
3665,5,189,7.3,8.9,2017-09-17,1
873,2,48,5.7,8.4,2017-09-17,1
795,4,150,7.5,8.7,2017-09-17,1
2959,2,79,6.9,8.5,2017-09-17,1
3536,2,61,6.4,8.7,2017-09-17,1
457,2,41,6.8,8.2,2017-09-17,0
795,4,135,7.5,8.7,2017-09-17,0
3536,1,29,6.1,8.5,2017-09-17,0
949,2,57,6.2,8.7,2017-09-17,0
925,1,33,3.8,5.2,2017-09-17,0
893,1,20,6.5,8.1,2017-09-17,0
786,1,9,5.4,8.2,2017-09-17,0
949,2,68,7.2,8.6,2017-09-17,1
2959,1,28,6.9,8.6,2017-09-17,0
865,1,23,6.1,8.4,2017-09-17,0
3665,4,153,7.4,8.9,2017-09-17,0
873,2,43,5.1,8.1,2017-09-17,0
871,1,30,4.9,8.3,2017-09-17,0
3536,2,69,6.0,8.6,2017-09-18,1
873,2,50,5.5,8.4,2017-09-18,1
3665,4,130,7.8,9.0,2017-09-18,1
865,1,30,6.5,8.5,2017-09-18,1
2959,2,73,6.6,8.4,2017-09-18,1
871,2,49,5.3,8.3,2017-09-18,1
786,1,9,5.2,8.3,2017-09-18,1
893,1,31,6.9,8.2,2017-09-18,1
925,1,22,5.3,8.0,2017-09-18,1
457,1,30,6.8,8.2,2017-09-18,1
795,4,136,6.6,9.0,2017-09-18,1
795,4,121,3.0,8.5,2017-09-18,0
873,2,45,4.8,8.3,2017-09-18,0
949,3,91,6.8,8.6,2017-09-18,1
3536,1,28,5.2,8.5,2017-09-18,0
457,1,40,3.0,8.2,2017-09-18,0
925,1,34,4.8,8.0,2017-09-18,0
893,1,25,6.3,8.3,2017-09-18,0
949,2,58,5.6,8.6,2017-09-18,0
871,1,34,4.6,8.8,2017-09-18,0
2959,1,30,6.2,8.6,2017-09-18,0
865,1,27,6.4,8.4,2017-09-18,0
3665,4,150,7.7,9.0,2017-09-18,0
